adresse_id,jardin_id,adresse,codepostal,ville,localisation
1,1,Prairie Claudel,88150,Thaon-les-Vosges,POINT(6.427672 48.2531016)
34,2,11 rue de l'Université,88100,Saint Dié des Vosges,POINT(6.942109 48.289973)
2,1,6 av Salvador Allende,88000,Épinal,POINT(6.4599403 48.1938105)
3,1,12 rue Armand Colle,88000,Épinal,POINT(6.4489619 48.1604568)
4,1,15 rue Général de Reffye,88000,Épinal,POINT(6.4323215 48.1819469)
5,1,rue de la papeterie,88000,Dinozé,POINT(6.4738942 48.1383687)
6,1,36 bis rue de la Plaine,88190,Golbey,POINT(6.4426982 48.1929337)
7,1,avenue des Terres St Jean,88190,Golbey,POINT(6.4692286 48.1891998)
8,1,17 rue André Vitu,88000,Épinal,POINT(6.465403 48.1775685)
15,1,15 rue du Maréchal Lyautey,88000,Épinal,POINT(6.4457306 48.177777)
20,1,9 rue de la Louvière,88000,Épinal,POINT(6.4531588 48.1723212)
9,1,24 rue du Gal de Gaulle,88200,St Nabord,POINT(6.5807814 48.0510352)
10,1,26 rue de la Joncherie,88200,Remiremont,POINT(6.5934293 48.0189339)
11,1,6 place Christian Poncelet,88200,Remiremont,POINT(6.5917178 48.0159918)
12,1,7 rue du Savron,88220,Raon-aux-Bois,POINT(6.5036466 48.0504027)
13,1,1 rue Moncey,88460,Docelles,POINT(6.6162166 48.1460719)
16,1,Zac Barbazan,88600,Bruyères,POINT(6.7208371 48.2032056)
17,1,2 rue de Fraisne,88600,Bruyères,POINT(6.7196903 48.2050495)
18,1,7 rue de la République,88400,Gérardmer,POINT(6.877433 48.074172)
19,1,24 route du Noirpré,88530,Le Tholy,POINT(6.7477787 48.0812967)
21,1,1 place de Verdun,88440,Nomexy,POINT(6.386527 48.305704)
22,1,Ruelle de Monsey,88450,Vincey,POINT(6.33085 48.337907)
23,1,15 rue Ste Barbe,88130,Charmes,POINT(6.2951122 48.3777043)
24,1,Bld Georges Clemenceau,88130,Charmes,POINT(6.298452 48.375298)
25,1,5 rue du Ruisseau,88150,Thaon les Vosges,POINT(6.423976 48.208795)
26,1,ZI Route Charles Pellerin,88190,Golbey,POINT(6.423976 48.208795)
27,1,7 allée des Primevères,88390,Les Forges,POINT(6.397633 48.171791)
14,1,12 rue  Raymond Poincaré,88000,Épinal,POINT(6.449693 48.175374)
28,1,4 place Christian Poncelet,88200,Remiremont,POINT(6.592068 48.015964)
29,1,8 quai Barbier,88000,Épinal,POINT(6.44519 48.171198)
30,1,allée des Érables,88000,Épinal,POINT(6.454908 48.20399)
31,1,7 rue du Boudiou,88000,Épinal,POINT(6.447245 48.174228)
32,1,2 rue des Amériques,88190,Golbey,POINT(6.428831 48.20015)
33,1,9 rue de la Louvière,88000,Épinal,POINT(6.452073 48.171806)
35,1,26 quai des Bons Enfants,88000,Épinal,POINT(6.4409549 48.1748623)
36,1,29 rue François de Neufchâteau,88000,Épinal,POINT(6.4421523 48.1785945)
37,1,8 rue de la Préfecture,88000,Épinal,POINT(6.4445154 48.1721724)
38,1,15 rue des Jardiniers,88000,Épinal,POINT(6.452224 48.1706099)
39,1,22 rue de la Moselle,88190,Golbey,POINT(6.4401446 48.1934526)
40,1,22 pl d'Avrinsart,88000,Épinal,POINT(6.455382 48.1833207)
41,1,16 Quar de la Magdeleine,88000,Épinal,POINT(6.4392871 48.187294)
42,1,1 Rue de la Préfecture,88000,Épinal,POINT(6.44875 48.172438)
43,1,45 boulevard d'Alsace,88400,Gérardmer,POINT(6.8763148 48.0738404)
44,1,18 Rue des Chaseaux,88200,Remiremont,POINT(6.589794 48.0164132)
45,1,15 av. du Maréchal de Lattre de Tassigny,88000,Épinal,POINT(6.443127 48.177728)
46,1,6 Quai des Bons Enfants,88000,Épinal,POINT(6.445643 48.175605)
47,1,4 pl du Général de Gaulle,88000,Épinal,POINT(6.442305 48.17818)
48,1,12 rue du Struthof,88000,Épinal,POINT(6.456332 48.153667)
49,1,12 rue Julien Ruellet,88000,Saint Laurent,POINT(6.458201 48.148279)
50,1,21 rue Jacques Brel,88190,Golbey,POINT(6.423633 48.198616)
51,1,1 route de Mazeley,88150,Oncourt,POINT(6.37777 48.251139)
52,1,5 rue du Haut du Camp,88440,Nomexy,POINT(6.380297 48.307381)
53,1,10 rue du docteur Sayer,88330,Châtel,POINT(6.390317 48.31538)
54,1,21 rue du Saint Oger,88000,Deyvillers,POINT(6.513466 48.203747)
55,1,rue des Forts,88390,Uxegney,POINT(6.381738 48.198477)
56,1,rue du Haut du Butté,88440,Frizon,POINT(6.362618 48.284125)
57,1,Allée des alouettes,88150,Girmont,POINT(6.44335 48.25952)
58,1,3 rue du Haut des Étages,88000,Épinal,POINT(6.454961 48.185961)
59,1,56 chemin du Moulin,88000,Épinal,POINT(6.475722 48.179868)
60,1,43 rue du Centre,88200,Saint Nabord,POINT(6.583557 48.051127)
61,1,19 rue de la Moselotte,88200,Saint Étienne les Remiremont,POINT(6.613694 48.020207)
62,1,5 av de Provence,88000,Épinal,POINT(6.4487861 48.1690093)
63,1,5 rue du Chapitre,88000,Épinal,POINT(6.4511496 48.1736396)
64,1,557 rue du Chêne,88220,Hadol,POINT(6.484004 48.108499)
