code,langue,français
fra,Français,Français
eng,English,Anglais
deu,Deutsch,Allemand
spa,Español,Espagnol
por,Português, Portugais
ita,Italiano,Italien
nld,Nederlands,Néerlandais
swe,Svenska,Suédois
dan,Dansk,Danois
pol,Polski,Polonais
hun,Magyar,Hongrois
ces,Čeština,Tchèque
hrv,Hrvatski,Croate
ron,Română,Roumain
bre,Brezhoneg,Breton
eus,Euskara,Basque
ell,Ελληνικά,Grec
rus,Русский,Russe
ukr,Українська,Ukrainien
bul,Български,Bulgare
jpn,日本語,Japonais
zho,中文,Chinois
kor,한국어,Coréen
hye,Հայերեն,Arménien
kat,ქართული,Géorgien
tur,Türkçe,Turc
arb,العربية,Arabe
heb,עברית,Hébreu
ber,ⵜⴰⵎⴰⵣⵉⵖⵜ,Berbère
amh,አማርኛ,Amharique
syr,ܣܘܪܝܝܐ,Syriaque
hin,हिन्दी,Hindî
ben,বাংলা,Bengalî
guj,ગુજરાતી,Gujarâtî
tam,தமிழ்,Tamoul
tha,ภาษาไทย,Thaï
vie,Tiếng Việt, Vietnamien
bug,ᨅᨔ ᨕᨘᨁᨗ,Bugis
mya,မြန်မာစကား,Birman
bod,བོད་སྐད་,Tibétain
mon,ᠮᠣᠨᠭᠭᠣᠯ ᠬᠡᠯᠡ,Mongol
cre,ᓀᐦᐃᔭᐍᐏᐣ,Cri
yua,Màaya T''àan,Maya
nci,Nāhuatlahtōlli,Nahuatl
run,ᚠᚢᚦᚨᚱᚲ,Futhark
hpl,R''lyehian,R''lyehien
